dataset,model,box_mAP@50,box_mAP@50-95,box_mean_f1,box_mean_precision,box_mean_recall,seg_mAP@50,seg_mAP@50-95,seg_mean_f1,seg_mean_precision,seg_mean_recall
CryoNuSeg,rtdetr,0.031,0.014,0.072,0.056,0.104,,,,,
CryoNuSeg,yolo8,0.773,0.469,0.737,0.727,0.748,,,,,
CryoNuSeg,yolo9,0.746,0.453,0.711,0.69,0.733,,,,,
CryoNuSeg,yolo10,0.675,0.455,0.668,0.694,0.643,,,,,
CryoNuSeg,yolo11,0.781,0.506,0.762,0.767,0.757,,,,,
CryoNuSeg,yolo12,0.781,0.499,0.744,0.759,0.73,,,,,
CryoNuSeg,yoloe,0.752,0.423,0.714,0.725,0.703,0.712,0.352,0.678,0.715,0.644
CryoNuSeg,yolow,0.754,0.419,0.724,0.745,0.705,,,,,
CryoNuSeg,rtdetr,0.0314211187772214,0.0143834881167689,0.0724112961622012,0.0555555555555555,0.1039501039501039,,,,,
CryoNuSeg,yolo8,0.7728500773139062,0.4692588722637712,0.7373545888854948,0.7265920595595079,0.7484407484407485,,,,,
CryoNuSeg,yolo9,0.7456619554745284,0.4525678086879729,0.7108484003940702,0.6904081335512685,0.7325359046921774,,,,,
CryoNuSeg,yolo10,0.6750790114082512,0.4550615913875941,0.667605054767981,0.6944860977739871,0.6427274034670906,,,,,
CryoNuSeg,yolo11,0.7809041363844814,0.5061866024006778,0.761857439172797,0.7670273472945753,0.7567567567567568,,,,,
CryoNuSeg,yolo12,0.7036289392584013,0.4067844706292131,0.6948660048754325,0.7017147157933376,0.6881496881496881,,,,,
CryoNuSeg,yolow,0.7537967640050593,0.4191092503977658,0.724432761113716,0.7452110886190066,0.7047817047817048,,,,,
CryoNuSeg,yoloe,0.7486058060766415,0.4271224292355666,0.7180574460269515,0.7167847006124728,0.7193347193347194,0.7344121987565184,0.4175532221776309,0.7051730891844563,0.7185257045870902,0.6923076923076923
CryoNuSeg,rtdetr,0.0313580882169498,0.0141883070820803,0.0724112961622012,0.0555555555555555,0.1039501039501039,,,,,
CryoNuSeg,yolo8,0.772205592662532,0.4564348532600187,0.7443847414360162,0.7574005420051416,0.7318087318087318,,,,,
CryoNuSeg,yolo9,0.7540856749659524,0.4587909614064033,0.7218857466560231,0.716211396405868,0.7276507276507277,,,,,
CryoNuSeg,yolo10,0.6882403274335582,0.4351637285063282,0.6855172045437469,0.682904785062848,0.6881496881496881,,,,,
CryoNuSeg,yolo11,0.7863037570822656,0.4998993962455731,0.7494784231249101,0.7223200056663556,0.778758878542307,,,,,
CryoNuSeg,yolo12,0.7472289738439091,0.4383485020692726,0.7218546284386944,0.7202239344089699,0.7234927234927235,,,,,
CryoNuSeg,yolow,0.0,0.0,0.0,0.0,0.0,,,,,
CryoNuSeg,yoloe,0.7493475068110154,0.4393480134943509,0.737983856951315,0.7091764118788861,0.7692307692307693,0.7402619044162181,0.4203884624238753,0.7257507633613085,0.7158145241109316,0.735966735966736
CryoNuSeg,rtdetr,0.0313580882169498,0.0141883070820803,0.0724112961622012,0.0555555555555555,0.1039501039501039,,,,,
CryoNuSeg,yolo8,0.772205592662532,0.4564348532600187,0.7443847414360162,0.7574005420051416,0.7318087318087318,,,,,
CryoNuSeg,yolo9,0.741345038530838,0.4547251128662369,0.714253614981764,0.7395362087050921,0.6906425532431341,,,,,
CryoNuSeg,yolo10,0.6883878561541696,0.4354971017173115,0.6860017453304805,0.6838671696681269,0.6881496881496881,,,,,
CryoNuSeg,yolo11,0.7863037570822656,0.4998993962455731,0.7494784231249101,0.7223200056663556,0.778758878542307,,,,,
CryoNuSeg,yolo12,0.7472289738439091,0.4383485020692726,0.7218546284386944,0.7202239344089699,0.7234927234927235,,,,,
CryoNuSeg,yolow,0.0,0.0,0.0,0.0,0.0,,,,,
CryoNuSeg,yoloe,0.7493475068110154,0.43934801349435093,0.737983856951315,0.7091764118788861,0.7692307692307693,0.7402619044162181,0.42038846242387534,0.7257507633613085,0.7158145241109316,0.735966735966736
