model,boundary_error,missed_detection,background_fp,split_detection,duplicate_detection,class_confusion,total_failures,missed_detection_pct,background_fp_pct,boundary_error_pct,class_confusion_pct,duplicate_detection_pct,split_detection_pct
rtdetr,3156.0,6754,6938.0,3055.0,876.0,127.0,20906.0,32.30651487611212,33.186644982301736,15.096144647469625,0.6074811059026117,4.190184635989668,14.613029752224241
yolo10,3603.0,6443,4007.0,2173.0,17.0,210.0,16453.0,39.16003160517839,24.35422111469033,21.898741870783446,1.276362973317936,0.1033246216495472,13.207317814380357
yolo11,3896.0,5845,4471.0,2341.0,8.0,199.0,16760.0,34.87470167064439,26.676610978520287,23.24582338902148,1.1873508353221958,0.0477326968973747,13.967780429594272
yolo12,4013.0,5166,7551.0,2569.0,13.0,151.0,19463.0,26.542670708523865,38.79669115758105,20.618609669629553,0.7758310640702872,0.06679340286697837,13.199403997328263
yolo8,3831.0,5945,4257.0,2306.0,3.0,164.0,16506.0,36.017205864534105,25.790621592148312,23.20974191203199,0.993578092814734,0.01817520901490367,13.970677329455954
yolo9,3715.0,6018,4394.0,2189.0,4.0,158.0,16478.0,36.521422502730914,26.665857506979002,22.545211797548244,0.9588542298822673,0.024274790629930817,13.28437917222964
yoloe,4014.0,5346,4754.0,2354.0,6.0,178.0,16652.0,32.10425174153254,28.549123228441026,24.105212587076625,1.0689406677876532,0.0360317079029546,14.136440067259187
yolow,3750.0,5964,4622.0,2253.0,1.0,161.0,16751.0,35.60384454659423,27.592382544325712,22.38672318070563,0.9611366485582951,0.005969792848188168,13.449943286967942
