model,missed_detection,boundary_error,background_fp,split_detection,duplicate_detection,class_confusion,missed_detection_pct,background_fp_pct,boundary_error_pct,class_confusion_pct,duplicate_detection_pct,split_detection_pct
rtdetr,5064,1291,3383,1499,6.0,5,45.02133712660029,30.076458036984356,11.4775960170697,0.04445234708392603,0.053342816500711245,13.326813655761024
yolo8,4307,1961,3263,1836,1.0,4,37.8737249384453,28.693281744635946,17.24410833626451,0.035174111853675694,0.008793527963418923,16.144917340837146
yolo9,4337,1931,3253,1797,1.0,3,38.30595301183536,28.731672849319907,17.055290584702348,0.026497085320614733,0.008832361773538244,15.871754107048226
yolo10,4342,1928,3362,1848,3.0,4,37.799251327587704,29.267868024723597,16.784190824410203,0.03482197266475146,0.026116479498563595,16.087751371115175
yolo11,4343,1928,3388,1816,3.0,5,37.82112688321867,29.504484890708007,16.790037446660282,0.04354262823304014,0.026125576939824088,15.81468257424018
yolo12,4256,2010,3573,1912,1.0,4,36.202790064647836,30.39299081320177,17.09765226267438,0.03402517863218782,0.008506294658046955,16.26403538618578
yolow,4330,1938,3361,1794,,4,37.89271024765905,29.41279425921064,16.959831976896822,0.03500481316180975,0.0,15.699658703071673
yoloe,4323,1933,3268,1819,2.0,3,38.09481847021502,28.798026083891436,17.03383856186112,0.026436376454000703,0.017624250969333802,16.029256256609095
