ensemble_method,precision,recall,f1,tp,fp,fn,param_iou_threshold,param_weights,param_min_votes
nms,0.014197530864197531,0.04781704781704782,0.021894336030461682,23,1597,458,0.5,,
wbf,0.01384083044982699,0.04158004158004158,0.020768431983385256,20,1425,461,0.5,"{'rtdetr': np.float64(0.014799314846534881), 'yolo8': np.float64(0.15148743113744734), 'yolo9': np.float64(0.14614323410953195), 'yolo10': np.float64(0.1373047544095181), 'yolo11': np.float64(0.1566260821258275), 'yolo12': np.float64(0.15292625341419377), 'yolow': np.float64(0.14881533262348964), 'yoloe': np.float64(0.09189759733345677)}",
wbf,0.012761020881670533,0.04573804573804574,0.019954648526077097,22,1702,459,0.6,"{'rtdetr': np.float64(0.014799314846534881), 'yolo8': np.float64(0.15148743113744734), 'yolo9': np.float64(0.14614323410953195), 'yolo10': np.float64(0.1373047544095181), 'yolo11': np.float64(0.1566260821258275), 'yolo12': np.float64(0.15292625341419377), 'yolow': np.float64(0.14881533262348964), 'yoloe': np.float64(0.09189759733345677)}",
voting,0.017718715393133997,0.033264033264033266,0.023121387283236997,16,887,465,0.5,,2.0
voting,0.020860495436766623,0.033264033264033266,0.025641025641025644,16,751,465,0.5,,3.0
voting,0.0226928895612708,0.031185031185031187,0.02626970227670753,15,646,466,0.5,,4.0
