method,f1,precision,recall,tp,fp,fn,total_gt,total_pred
Threshold 0.5,0.06161616161616162,0.7922077922077922,0.03205465055176038,61,16,1842,1903,77
TSBP,0.20267686424474185,0.37219101123595505,0.13925380977404098,265,447,1638,1903,712
TSBP_A,0.3740281571758773,0.311624649859944,0.4676826064109301,890,1966,1013,1903,2856
TSBP_H,0.0,0.0,0.0,0,0,1903,1903,0
TSBP_PP,0.35923022095509627,0.5581395348837209,0.26484498160798736,504,399,1399,1903,903
Clust,0.32071167883211676,0.28335348649738007,0.3694167104571729,703,1778,1200,1903,2481
Clust2,0.30502766418089966,0.28127772848269744,0.3331581713084603,634,1620,1269,1903,2254
