method,f1,precision,recall,tp,fp,fn,total_gt,total_pred
Threshold 0.5,0.1822386679000925,0.7606177606177607,0.10352075669994745,197,62,1706,1903,259
TSBP,0.3375201288244767,0.43594009983361065,0.27535470310036786,524,678,1379,1903,1202
TSBP_A,0.40277777777777773,0.3235575390500478,0.5333683657383079,1015,2122,888,1903,3137
TSBP_H,0.002097535395909806,0.5,0.0010509721492380452,2,2,1901,1903,4
TSBP_PP,0.3961593172119488,0.6127612761276128,0.2926957435627956,557,352,1346,1903,909
