model,missed_detection,boundary_error,duplicate_detection,background_fp,split_detection,missed_detection_pct,background_fp_pct,boundary_error_pct,class_confusion_pct,duplicate_detection_pct,split_detection_pct
rtdetr,363,109,6.0,527,358,26.632428466617753,38.66471019809244,7.997065297138664,0.0,0.4402054292002935,26.265590608950845
yolo8,271,196,1.0,408,288,23.281786941580755,35.051546391752574,16.83848797250859,0.0,0.0859106529209622,24.742268041237114
yolo9,279,187,,422,255,24.409448818897637,36.92038495188101,16.36045494313211,0.0,0.0,22.30971128608924
yolo10,293,174,,251,247,30.362694300518132,26.01036269430052,18.031088082901555,0.0,0.0,25.59585492227979
yolo11,253,209,,430,311,21.030756442227762,35.74397339983375,17.373233582709894,0.0,0.0,25.852036575228592
yolo12,276,187,,585,297,20.520446096654275,43.49442379182156,13.903345724907062,0.0,0.0,22.0817843866171
yolow,267,195,,531,311,20.47546012269939,40.72085889570552,14.95398773006135,0.0,0.0,23.849693251533743
yoloe,287,178,,341,221,27.945472249269717,33.20350535540409,17.33203505355404,0.0,0.0,21.518987341772153
